ÏµºÅ,T1,T2,T3,T4,T5,T6
0145,0.36,1.1,1.23,1.67,1.87,2.1
0167,0.85,0.87,0.89,0.96,1.01,1.08
0171,0.75,0.82,0.89,0.93,0.99,1.28
0216,0.36,1.44,1.5,2,2.14,2.34
1034,1.84,2.05,2.06,2.11,2.37,2.51
0993,0.76,0.98,1.05,1.33,1.55,1.91
1105,0.94,1.01,1.11,1.17,1.23,1.31
1041,0.52,0.72,0.74,0.8,1.02,1.11
1113,0.85,1.34,1.57,1.74,2.02,2.02
1114,1.41,1.9,1.95,2.5,2.51,3.19
1120,0.64,0.95,1.15,1.53,1.63,1.63
1123,1,1.09,1.15,1.22,1.35,1.45
1127,1.06,1.32,1.33,1.39,1.49,1.69
1128,1.04,1.1,1.21,1.34,1.38,1.46
1129,0.71,0.89,1.1,1.16,1.18,1.58
1131,1.82,2.09,2.3,2.35,2.46,2.83
1133,1.67,1.67,2.22,2.54,2.9,2.98
1136,0.89,1.08,1.16,1.16,1.32,1.46
1139,1.06,1.11,1.53,1.56,1.75,1.9
1141,1.72,1.95,1.99,2,2.05,2.09
1150,1.53,1.74,1.88,1.97,1.98,2.2
1154,0.53,0.59,0.9,1.01,1.19,1.3
1155,0.87,1.02,1.28,1.34,1.75,1.82
1172,2.11,2.22,2.72,2.78,2.91,3.31
1187,1.9,2.13,2.16,2.57,2.74,2.96
1196,1.06,1.43,1.51,1.74,1.75,1.85
1209,1.27,1.39,1.42,1.47,1.58,1.67
1216,1.91,2.13,2.59,3.04,3.06,3.55
1233,0.76,0.93,1.1,1.23,1.35,1.78
1238,0.88,1.09,1.13,1.34,1.36,1.54
1239,1.01,1.02,1.03,1.52,1.79,1.8
1247,1.04,1.31,1.46,1.68,1.73,1.77
1250,0.3,0.76,0.93,1.4,1.76,1.82
1257,0.93,1.32,1.46,1.65,1.66,1.88
1268,0.92,0.97,1.08,1.41,1.59,1.74
1269,1.15,1.23,1.24,1.28,1.34,1.4
1270,0.69,1.16,1.6,1.68,1.87,2
1274,1.16,1.37,1.44,1.45,1.49,1.7
1275,1.26,1.28,1.36,1.38,1.43,1.8
1276,1.5,2.13,2.32,2.55,2.64,2.88
1279,1.23,1.26,1.42,1.76,1.76,2.08
1280,1.32,1.33,1.5,2.07,2.27,2.54
1281,1.17,1.19,1.19,1.42,1.77,1.9
1282,1.32,1.35,1.37,1.4,1.51,1.69
1300,0.87,1.01,1.16,1.37,1.4,1.43
