ÏµºÅ,T1,T2,T3,T4,T5,T6
0145,0.96,0.97,1.02,1.12,1.13,1.15
0216,1.28,1.31,1.43,1.46,1.55,1.56
0167,0.74,0.97,1.02,1.62,1.63,1.71
1034,0.52,1.04,1.59,1.62,2.03,2.32
1041,0.77,0.89,1.07,1.27,1.29,1.94
1105,0.67,1.19,1.2,1.41,2.49,2.56
1113,0.8,0.94,1.02,1.05,1.13,1.2
1114,1.06,1.33,1.67,1.95,1.98,1.99
1120,0.76,1.01,1.06,1.34,1.4,1.7
1123,0.67,0.75,0.82,0.85,0.92,1.15
1127,0.61,0.79,0.81,0.86,0.98,1.05
1128,0.72,0.89,1.01,1.21,1.29,1.32
1133,1.47,1.52,1.91,2.25,2.49,2.52
1136,1.07,1.24,1.28,1.29,1.34,1.94
1139,1.53,1.69,1.85,1.89,2.01,2.07
1141,1.84,1.86,1.89,1.89,1.92,2.06
1150,1.57,1.66,1.66,1.72,1.88,1.96
1155,0.78,0.79,0.82,0.88,0.94,0.99
1172,0.8,1.18,1.45,1.77,1.78,1.81
1196,0.93,1.09,1.23,1.54,1.6,1.9
1209,1.07,1.26,1.32,1.37,1.69,1.78
1216,0.58,0.74,1.18,1.2,1.48,1.58
1238,0.79,0.89,0.93,1.01,1.05,1.07
1239,0.76,0.84,0.9,0.96,1.27,1.34
1247,0.88,0.97,1.08,1.22,1.27,1.37
1257,0.76,1.12,1.33,1.52,1.61,1.73
1268,1.15,1.19,1.25,1.34,1.82,1.88
1269,1.04,1.07,1.18,1.31,1.35,1.41
1270,0.79,1.23,1.29,1.29,1.42,1.49
1274,1.31,1.32,1.45,1.49,1.53,1.71
1275,1.47,1.51,1.52,1.72,1.91,1.94
1276,1.24,1.4,1.71,1.71,2.09,2.13
1279,1.38,1.43,1.47,1.88,2.01,2.06
1281,0.75,1.53,1.58,1.69,1.73,1.73
1282,0.99,1.23,1.24,1.79,1.83,1.93
1287,1.26,1.39,1.39,1.5,1.65,1.72
1300,0.96,1.14,1.17,1.81,1.88,1.94
1312,0.65,1.03,1.4,1.81,1.86,2.03
1322,1.12,1.3,1.31,1.33,1.35,1.35
1329,1.27,1.32,1.33,1.33,1.36,1.37
1345,1.4,1.58,1.64,1.75,2.19,2.21
1347,1,1.21,1.32,1.62,1.96,1.99
1349,0.75,0.92,1.54,1.57,1.59,1.63
1350,1.09,1.19,1.2,1.21,1.38,1.45
1351,1.27,1.35,1.47,1.56,1.61,1.64
1356,1.14,1.2,1.22,1.27,1.49,1.59
1357,1.6,1.65,1.82,1.91,2.01,2.08
1365,1.68,1.98,2.05,2.42,2.44,2.48
1376,0.85,0.95,1.11,1.14,1.43,1.46
1384,0.31,0.32,0.32,0.58,0.61,0.63
1393,1.37,1.81,1.94,2.17,2.49,2.52
1593,1.11,1.58,1.71,1.93,2.12,2.16
1708,0.4,0.75,1.07,1.43,1.51,1.57
1893,0.59,0.78,0.92,0.92,0.93,0.98
HTY,1.8,1.94,2.45,2.7,2.89,2.94
T010,0.6,0.66,0.87,1.07,1.22,1.29
T019,1.83,1.93,2.05,2.29,2.31,2.52
T022,1.31,1.36,1.76,1.99,2.01,2.26
T024,1.76,2,2.42,2.55,2.6,2.61
T027,0.97,1.06,1.42,1.67,1.92,2.85
T028,0.85,0.86,1.33,1.42,1.49,1.69
T031,1.14,1.2,1.23,1.26,1.36,1.5
T049,1.25,1.32,1.38,1.38,1.4,1.56
T051,2.09,2.09,2.41,2.44,2.57,2.61
T056,1.89,1.92,1.94,2.08,2.39,2.5
T059,0.65,0.86,0.89,0.91,1.02,1.03
T082,0.51,0.65,0.7,0.76,0.89,0.92
T083,0.39,0.43,0.59,0.65,0.99,1.05
T102,1.06,1.36,1.85,1.87,2.21,2.25
T111,0.96,0.98,1.17,1.23,1.26,1.49
T114,1.94,1.97,2.09,2.92,3.15,3.38
T131,1.61,2.15,2.46,2.53,2.66,3.26
T152,0.63,0.83,0.9,1.19,2.15,2.25
T181,1.65,1.85,2.16,2.35,2.37,2.45
T198,1.91,2.12,2.33,2.33,2.41,2.49
T203,1.23,1.83,1.84,1.92,1.93,1.99
T204,1.51,1.51,1.67,2.31,2.6,2.62
T205,0.62,0.63,0.83,0.89,1.03,1.05
T235,0.49,0.54,0.69,0.7,0.78,0.87
T245,1.81,1.84,1.9,1.99,1.99,2.41
T259,0.7,0.76,0.78,0.82,0.88,1.01
T260,0.86,1.07,1.12,1.22,1.24,1.33
